   Loading spin-up weather data from file ncar_climate_formatted_AK_V3_historical_CR910_to1990.csv ...
   Converting raw data from text file: ncar_climate_formatted_AK_V3_historical_CR910_to1990.csv, Format=daily_temp-k_precip-mmday, Temporal=Daily.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2026, actualYear = 1982, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = 9, SimulatedYear = 2027, actualYearUsed=1982.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2027, actualYear = 1982, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = 9, SimulatedYear = 2028, actualYearUsed=1972.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2028, actualYear = 1972, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = 9, SimulatedYear = 2029, actualYearUsed=1984.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2029, actualYear = 1984, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = 9, SimulatedYear = 2030, actualYearUsed=1989.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2030, actualYear = 1989, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = 9, SimulatedYear = 2031, actualYearUsed=1980.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2031, actualYear = 1980, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = 9, SimulatedYear = 2032, actualYearUsed=1972.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2032, actualYear = 1972, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = 9, SimulatedYear = 2033, actualYearUsed=1980.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2033, actualYear = 1980, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = 9, SimulatedYear = 2034, actualYearUsed=1970.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2034, actualYear = 1970, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = 9, SimulatedYear = 2035, actualYearUsed=1978.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2035, actualYear = 1978, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = 9, SimulatedYear = 2036, actualYearUsed=1971.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2036, actualYear = 1971, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = 9, SimulatedYear = 2037, actualYearUsed=1983.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2037, actualYear = 1983, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = 9, SimulatedYear = 2038, actualYearUsed=1979.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2038, actualYear = 1979, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = 9, SimulatedYear = 2039, actualYearUsed=1988.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2039, actualYear = 1988, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = 9, SimulatedYear = 2040, actualYearUsed=1987.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2040, actualYear = 1987, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = 9, SimulatedYear = 2041, actualYearUsed=1979.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2041, actualYear = 1979, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = 9, SimulatedYear = 2042, actualYearUsed=1976.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2042, actualYear = 1976, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = 9, SimulatedYear = 2043, actualYearUsed=1981.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2043, actualYear = 1981, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = 9, SimulatedYear = 2044, actualYearUsed=1975.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2044, actualYear = 1975, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = 9, SimulatedYear = 2045, actualYearUsed=1990.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2045, actualYear = 1990, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = 9, SimulatedYear = 2046, actualYearUsed=1986.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2046, actualYear = 1986, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = 9, SimulatedYear = 2047, actualYearUsed=1979.
